ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,claim,topic_id,inverse_simpson_index
0.13120507751234178,0.36995731885538535,0.41880009570499904,0.40627077153916286,0.382540528079625,0.0005847953216374269,0.005736563631300473,0.016050608891166166,0.03378469813928556,0.06567699367092471,The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,30,2.2766948378110956
0.639945385422766,0.5239111235148561,0.5346853936380114,0.5515137287162072,0.5177177078475096,0.012252252252252252,0.019234234234234232,0.03694521931364036,0.0905096985388132,0.16309671167080383,the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42,1.8382039522869038
0.7204111965093014,0.7401677283269597,0.6576183752173594,0.6448027635758732,0.6129278685457021,0.017387387387387387,0.03383097383097383,0.05409503056561879,0.12506061371221755,0.22608534195985336,Vitamin D may improve odds of survival from COVID-19.,42,1.8382039522869038
0.830419897363192,0.7381919257729245,0.633803154334772,0.563591377899354,0.5675229598220645,0.019189189189189187,0.029954954954954958,0.04676659853130441,0.0912470749696585,0.18042337741297834,VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42,1.8382039522869038
0.5087403079104241,0.5415879285615245,0.45739358839284733,0.507969042089001,0.46965331930537674,0.005144032921810699,0.009773662551440328,0.0160182067589475,0.04290419166628639,0.07825727624509038,Ideal weather conditions may have helped coronavirus thrive,2,1.783333001612165
0.5296347172140421,0.5648901044069581,0.6138904911107697,0.5990035009251801,0.5953749558419075,0.01036036036036036,0.021879021879021878,0.04646808007489123,0.11358928714957242,0.2159404524961626,There is no evidence taking vitamin D supplements will protect people from Covid-19.,42,1.8382039522869038
1.0,0.8938868170135427,0.826044914446814,0.6561369457184243,0.592218325815494,0.02702702702702703,0.04750750750750751,0.07982114149296814,0.13106735276484574,0.20783797973315596,VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42,1.8382039522869038
0.44484466589563804,0.32787288430696304,0.26871573787145064,0.2245779336410649,0.3025966815864963,0.018429487179487176,0.024839743589743588,0.03364824278285817,0.05076834145460891,0.10247169835446703,all hand sanitizers works against covid-19 ,19,1.2005477597516823
0.10699313236726378,0.06943122193677727,0.044808643601671735,0.054197573067331604,0.048572771394310585,0.0008305647840531562,0.0008305647840531562,0.0008305647840531562,0.0012290774260678501,0.0017792852861790288,A central player in the fight against the novel coronavirus is our immune system.,3,2.2345123827758875
0.0,0.034715610968388634,0.09365393053379577,0.07331018439675055,0.07233807688842672,0.0,0.00025826446280991736,0.0009288458750181237,0.0014597935062792347,0.0025973798621954287,"Heart damage lingers in COVID-19 patients, even after recovery",22,2.422328228303624
0.6473770215879483,0.7017405931840823,0.6298975780554553,0.6021114603803733,0.5065763595350429,0.006646005509641874,0.013398596353141806,0.022556469080533253,0.053272102666022635,0.08133114145027262,social distancing is the most effective measure of containing the spread of the new coronavirus.,10,2.6224280231911514
0.0,0.0,0.0,0.04331576415323341,0.030407167874188838,0.0,0.0,0.0,0.00040671105888497196,0.0005072580344319475,Drugs for high blood pressure appear to make COVID-19 worse,20,2.892073801273562
0.0,0.0,0.019810533527907803,0.14255573756389814,0.1994627556800529,0.0,0.0,0.0002546473134708429,0.003950394882272991,0.013864554480616659,diabetes more than doubles your risk of dying from coronavirus.,24,2.0965870980469523
0.415209948681596,0.38200590268010093,0.4053130476952374,0.3689619754732563,0.3549085661724903,0.00537953795379538,0.008727015558698727,0.01773022140270707,0.03451932155459155,0.05944870736397684,number of deaths by covid-19 can be reduced if the population wear face masks in public,18,2.6219719647442092
0.34519134224686937,0.3963729679560219,0.36605710739331165,0.4034730098442673,0.41480665092402086,0.002631578947368421,0.0069711315325350414,0.011454562331755314,0.030905463390476326,0.06909486873503178,remdesivir is highly effective at fighting the novel coronavirus in isolated cells,30,2.2766948378110956
0.4703652827859579,0.3746661058764784,0.4197564109432788,0.42097362540782846,0.35441094476523427,0.0034482758620689655,0.0043719211822660095,0.009110157839740417,0.02535410799170996,0.03828642243556127,Masks prevent the spread of COVID-19,44,2.2714160461915167
0.915209948681596,0.7295940791484928,0.6339732616383171,0.5985223782643849,0.5746136164174259,0.015432098765432098,0.020147462277091906,0.031152346363116347,0.0633606705234755,0.11412235786544159,warmer weather slow coronavirus,2,1.783333001612165
0.16958010263680806,0.11004588314904008,0.07102001981682865,0.09752827262530994,0.16727478025253945,0.0005630630630630631,0.0005630630630630631,0.0005630630630630631,0.0011660097597597598,0.004911847557936086,"The use of ACE inhibitors was associated with an almost 40% lower risk of COVID-19 hospitalization for the older, Medicare Advantage patients - but there was no significant difference in risk for the younger, commercially insured patients.",20,2.892073801273562
0.5296347172140421,0.5527460588826717,0.46396046871505414,0.5578000300684683,0.49913622559368737,0.01036036036036036,0.02043114543114543,0.029134106765685713,0.09281010308819598,0.15779466929292885,no clinical evidence on vitamin D in COVID-19,42,1.8382039522869038
0.08479005131840403,0.19704199875214706,0.12716447226992045,0.08383820286464011,0.11951915163299312,0.0006706908115358819,0.0019450033534540575,0.0019450033534540575,0.002391585284062096,0.0066872538228993,"only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had other health conditions and contributing causes.",4,1.9397576672169015
0.0,0.0,0.054163385091636644,0.0748446757854643,0.07271659559468963,0.0,0.0,0.0002605407809868776,0.0006899597011610317,0.0011524529893036425,"COVID-19 disease, caused by infection with SARS-CoV-2, is related to a series of physiopathological mechanisms that mobilize a wide variety of biomolecules, mainly immunological in nature. ",39,2.791030977953346
0.530943388959284,0.5875348214097821,0.6133816818980709,0.6000743430292097,0.577264117255489,0.007389162561576354,0.013936781609195401,0.026581993684015977,0.06594183862181313,0.11752606595868714,wearing a face mask do not stopped person-to-person spread of the virus.,44,2.2714160461915167
0.0,0.06362078819895171,0.060869312914796865,0.05439257825830077,0.09144330094981323,0.0,0.00016103059581320451,0.00045381349729175824,0.0007206641989250687,0.002421746885222105,coronavirus may originated in a lab,1,2.4219755641008773
0.21398626473452756,0.2519763238206185,0.21339900992713565,0.14410458001981122,0.1391164699632297,0.001256281407035176,0.0030360134003350084,0.004325138765724045,0.005004829010259794,0.008112169347804602,Children are not COVID-19 super spreaders,47,2.270424194292019
0.14606834984270645,0.16421958630632802,0.10598195897970358,0.057850589100136074,0.03563461307258096,0.0007716049382716049,0.0015432098765432098,0.0015432098765432098,0.0015432098765432098,0.0015432098765432098,We know that COVID-19 is a coronavirus and there are other types of human coronaviruses that circulate. ,2,1.783333001612165
0.5531464700081437,0.42838543210841196,0.31608703749448813,0.29348019752155186,0.2793639790065249,0.010810810810810811,0.012837837837837839,0.014803439803439804,0.025077564233020856,0.04177945526629395,Can Vitamin C Protect You from COVID-19?,42,1.8382039522869038
0.38356636737133565,0.457957694513121,0.3451575799736346,0.337567614112225,0.3931867689512822,0.006306306306306305,0.014328614328614325,0.01802230802230802,0.03613816860538873,0.08989250032154907,Vitamin Deficiency May Raise Risk of Serious COVID-19,42,1.8382039522869038
0.7573857224418385,0.6336268289914376,0.600453694791595,0.5787191736033067,0.5796180338769149,0.012315270935960592,0.019430760810071154,0.03233741772571098,0.061345594651600235,0.11396609004361943,"do surgical masks actually prevent the spread of COVID-19? No, absolutely not.",44,2.2714160461915167
0.15039259007457492,0.3129774796723176,0.3285545817534458,0.37108422418531795,0.3657986563222019,0.0014521452145214522,0.004563884959924563,0.008606524517998019,0.027759468622069725,0.05087343965316127,not all masks confer equal levels of protection,18,2.6219719647442092
0.7840048711692542,0.5871637850943809,0.6288818865204484,0.5771408272436643,0.5584120543634984,0.021621621621621623,0.026126126126126123,0.048436415201121075,0.09797321150007388,0.17816295857868059,Several recent studies have looked at the impact of vitamin D on COVID-19.,42,1.8382039522869038
0.0,0.0,0.05613964311959006,0.09700044370646917,0.07476688437099395,0.0,0.0,0.0002835951134380454,0.0014041397428694205,0.001905251383659446,One reason Covid-19 has spread so rapidly is that people infected with the SARS-CoV-2 coronavirus can show no symptoms of disease and yet are still contagious - they don't look or feel sick but still transmit the virus without realizing.,27,2.8026914671618006
0.7860137352654724,0.5795003533950692,0.5879495563352585,0.5580768818902488,0.6127298832141174,0.017387387387387387,0.020765765765765765,0.03886374092256445,0.08806296420273395,0.20532711573798376,Low Vitamin D Levels Tied to Odds for Severe COVID,42,1.8382039522869038
0.0,0.07839826897867533,0.11579894469051387,0.09455069798115004,0.11851492964940948,0.0,0.0009009009009009008,0.0022807017543859647,0.0038920382494433896,0.008836407329488897,studies have shown that a deficiency of the nutrient (vitamin D) is linked to higher risk of severe COVID-19.,42,1.8382039522869038
0.08479005131840403,0.05502294157452004,0.1611863168090714,0.14755974697382052,0.16685593077873184,0.0009337068160597572,0.0009337068160597572,0.0034849233811171526,0.005774905502410151,0.010885183343013683,"If you do get COVID-19, the infection could put you at greater risk for diabetes complications like diabetic ketoacidosis (DKA). DKA happens when high levels of acids called ketones build up in your blood. It can be very serious.",24,2.0965870980469523
0.0,0.0,0.018178143994269418,0.04274641922438716,0.03370579518426384,0.0,0.0,0.00014371945961483184,0.0005349557663440963,0.0006264136042808075,"COVID-19 Primary, Not Only, Cause of 94% of Deaths",4,1.9397576672169015
0.6608397947263839,0.6320787427864673,0.6591108819543268,0.5644974930588155,0.4886781577923723,0.01095679012345679,0.017379482657260435,0.03325844410869063,0.059831819065123304,0.08867316152980655,wet weather can kill the new coronavirus,2,1.783333001612165
0.27727342735504823,0.17993148201117176,0.18918046189054685,0.22102037055991058,0.22038584873721,0.0018207282913165266,0.0018207282913165266,0.00320714144243556,0.008052075016755625,0.016218258986120834,"Coronavirus deaths in people with diabetes Data from NHS England in May showed us that, for those who become so unwell with coronavirus that they need to go to hospital, the risk of dying is higher for people living with diabetes than people without the condition.",24,2.0965870980469523
0.16958010263680806,0.2843796396711778,0.30632300409974844,0.3432353817182697,0.2973137314086909,0.0005385029617662897,0.0023238967100033337,0.005879416500324586,0.01643370070048305,0.02565463933998527,Duo of antiviral drugs strongly inhibits SARS-CoV-2 in the lab,5,2.2898361430858785
0.23518264139297895,0.21623823016880228,0.24608110216227114,0.24481847013723385,0.2582141094900426,0.004347826086956522,0.005279503105590062,0.008324921237637811,0.01677713803978408,0.030407681875271226,individuals with hypertension get more serious cases of COVID-19,23,1.9051353589266222
0.0,0.06625422345438903,0.08114295068041448,0.0744048274053168,0.10610108956445823,0.0,0.00017950098725542989,0.0004487524681385748,0.0007759269566738919,0.002352592722271171,"Our study shows that camostat mesylate blocks infection of cells with SARS-CoV-2-like particles and with authentic, patient-derived SARS-CoV-2. ",5,2.2898361430858785
0.4703652827859579,0.337045278039177,0.253028027307502,0.30308482054724256,0.2993639482875412,0.002892561983471074,0.003512396694214876,0.004063360881542699,0.015191995509365442,0.030274406139388036,Mask wearing and social distancing for COVID-19 may be slowing influenza spread,10,2.6224280231911514
0.27727342735504823,0.24936270394794902,0.1964405569601038,0.1707455150489168,0.14645327003258335,0.002006172839506173,0.00316358024691358,0.003986625514403291,0.006739233804095981,0.009300931493872264,"The pandemic coronavirus will wane with warmer weather, like some other respiratory",2,1.783333001612165
0.3156484524795145,0.28323251649726616,0.32827418607455744,0.31728471744770553,0.2916608320916257,0.004201680672268907,0.0056022408963585435,0.009903106541762003,0.022471540008227625,0.036209891335268855,"Some people with diabetes, a disease that affects the body's ability to produce or use the hormone insulin to reduce glucose (sugar) in the blood, may be concerned about being at higher risk of getting COVID-19. However, this is a misconception.",24,2.0965870980469523
