ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,avg_mmr_score,claim,topic_id
0.21167088859887737,0.3035390450532848,0.3422086884539845,0.3591766884385611,0.37038817460717965,0.0019005847953216374,0.0057586094866796615,0.014127697351381563,0.033807144555157466,0.06344456195212266,0.21160486,The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,30
0.14606834984270645,0.36745852005902885,0.526575120583671,0.5399243364896378,0.49019597690489375,0.0013513513513513514,0.010027885027885028,0.03797005194064018,0.09803407409748549,0.16375763966858292,0.04063821,the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42
0.4468535299918563,0.3683756341388872,0.45296124245124497,0.5576926180963716,0.5716115918406959,0.007747747747747747,0.01135135135135135,0.031031088399509448,0.10255456614918547,0.21053200489701168,-0.017682886,Vitamin D may improve odds of survival from COVID-19.,42
0.830419897363192,0.8205228949141826,0.7235659708575146,0.6366090923474914,0.5840553867647869,0.019189189189189187,0.03685542685542685,0.060705831882302455,0.11573654671547207,0.1975434051857845,0.026304597,VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42
0.6992148198508501,0.6280763310633233,0.5876688164932499,0.4739613159321157,0.48149834358536603,0.008487654320987654,0.014237948265726044,0.024037606063749856,0.04337696655709551,0.08021048048357862,-0.021860026,Ideal weather conditions may have helped coronavirus thrive,2
0.36005461457723403,0.521098444712307,0.5838320433509422,0.6649387102715735,0.5942205861442514,0.005405405405405406,0.018178893178893176,0.04226899087580202,0.13369191221840857,0.2242626023374969,0.032104257,There is no evidence taking vitamin D supplements will protect people from Covid-19.,42
0.5531464700081437,0.494639655562801,0.5856308658542887,0.6147611016192224,0.5524094503914755,0.010810810810810811,0.015240240240240241,0.038222907681112014,0.10727064313552392,0.18230050964312217,0.056294408,VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42
0.08479005131840403,0.16310247464226874,0.14488207864295155,0.22081610667771545,0.2715667192783973,0.003205128205128205,0.009558150183150184,0.013054653679653682,0.04056547659837436,0.08838458515148818,0.12654313,all hand sanitizers works against covid-19 ,19
0.0,0.0,0.017375086349434285,0.024662132909326163,0.038654476029401585,0.0,0.0,0.00010382059800664452,0.0003510653732951955,0.001029204074789779,0.0750974,A central player in the fight against the novel coronavirus is our immune system.,3
0.21398626473452756,0.1735780548419432,0.14824541421486204,0.08810944066201588,0.08828585152358547,0.0010330578512396695,0.0015495867768595042,0.002552260573650948,0.0028042259032215995,0.003830651348285752,0.11555235,"Heart damage lingers in COVID-19 patients, even after recovery",22
