ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,ndcg_cut_50,ndcg_cut_100,map_cut_5,map_cut_10,map_cut_20,map_cut_50,map_cut_100,claim,topic_id
0.36005461457723403,0.5184650094568697,0.36968624888944984,0.3411808408303886,0.3878953601676513,0.0029239766081871343,0.009638680033416875,0.012444277021839348,0.02568874008939452,0.06033969212335808,The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,30
0.38356636737133565,0.4642913062995817,0.4757837336729258,0.463273389591947,0.48875007088907363,0.006306306306306305,0.014800514800514801,0.02859313094607212,0.06524062943659167,0.14233321543810637,the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42
0.830419897363192,0.8263333286520083,0.758688554413254,0.6168461075699289,0.6225194053593168,0.019189189189189187,0.037861432861432856,0.0660323973481868,0.11815368370582044,0.22530880918057655,Vitamin D may improve odds of survival from COVID-19.,42
0.639945385422766,0.6267310462031457,0.5632831511141364,0.6074382287160344,0.5611750489330783,0.012252252252252252,0.022477477477477477,0.03779469514763632,0.10668549166652277,0.1842413214757853,VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42
0.7883291114011227,0.7963858533552497,0.7132509993898705,0.5564191117626315,0.5078471676425318,0.011728395061728394,0.02211566725455614,0.03654367608400976,0.05638934632814532,0.09331049799838553,Ideal weather conditions may have helped coronavirus thrive,2
0.7860137352654724,0.7917063341896681,0.6134514297372686,0.5302501276147696,0.6023025384727081,0.017387387387387387,0.03505362505362505,0.04461375198217304,0.07968813622766524,0.19574506616739012,There is no evidence taking vitamin D supplements will protect people from Covid-19.,42
0.8687949224876582,0.7335224288756346,0.5472860730331622,0.5702550473056401,0.5561188679571256,0.021621621621621623,0.033320463320463324,0.04016731016731017,0.09363010304050974,0.1708321825348095,VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42
0.5433994577073111,0.4578033823233124,0.332758105332434,0.296036773050329,0.32637991602366034,0.020192307692307693,0.030494505494505497,0.034932375316990706,0.06391085190284823,0.10529393535890315,all hand sanitizers works against covid-19 ,19
0.08479005131840403,0.05502294157452004,0.05288509625784861,0.05035945464558402,0.04631440214919557,0.0005537098560354374,0.0005537098560354374,0.0007613510520487264,0.001226645947201086,0.0016823708728302524,A central player in the fight against the novel coronavirus is our immune system.,3
0.0,0.0,0.050240056917011285,0.0484828962412783,0.06439691875714858,0.0,0.0,0.0003466180948238364,0.0006704279369717612,0.0019335374737521416,"Heart damage lingers in COVID-19 patients, even after recovery",22
0.30078518014914984,0.3282410109263901,0.4076802054878861,0.432154558128592,0.4406254882747586,0.0015151515151515154,0.0031163911845730028,0.009004373725448106,0.029098558114236766,0.06036373998768396,social distancing is the most effective measure of containing the spread of the new coronavirus.,10
0.0,0.039199134489337664,0.02529784148730853,0.021250475559755316,0.031796743364212725,0.0,0.00028153153153153153,0.00028153153153153153,0.00037537537537537537,0.0006313659019844587,Drugs for high blood pressure appear to make COVID-19 worse,20
0.5087403079104241,0.3963918729015093,0.42695090383435,0.32490447521393895,0.27702500542295744,0.004668534080298786,0.005602240896358543,0.010477338510223491,0.016310640937107084,0.02456229634723352,diabetes more than doubles your risk of dying from coronavirus.,24
0.32740432887656534,0.38734758678883946,0.3954601242853888,0.3677959622698076,0.35849553331622597,0.004785478547854785,0.008663366336633664,0.016186703690611978,0.030108363808236106,0.057500524803198,number of deaths by covid-19 can be reduced if the population wear face masks in public,18
0.6548086577531307,0.5364513945225409,0.5955370763190417,0.4716413301824041,0.45282809195743773,0.007066276803118908,0.010640025990903183,0.022551883174269247,0.04280934081622652,0.07782886675502482,remdesivir is highly effective at fighting the novel coronavirus in isolated cells,30
0.3391602052736161,0.3989090463411669,0.40394367310054025,0.37752569908778566,0.3548854139566398,0.0024630541871921183,0.0054343576511064196,0.00999923158717711,0.022373444156416858,0.039556507750461205,Masks prevent the spread of COVID-19,44
